Metric,Seed,Value,Statistic_Type
FDE,Seed_0,0.3123,Individual
FDE,Seed_1,0.3317,Individual
FDE,Seed_2,0.3346,Individual
FDE,Seed_3,0.3599,Individual
FDE,Seed_4,0.4236,Individual
FDE,Summary,0.35242,Mean
FDE,Summary,0.04324068685855948,Std_Dev
FDE,Summary,0.019337823041904165,SEM
FDE,Summary,0.298729595870124,CI_95_Lower
FDE,Summary,0.40611040412987603,CI_95_Upper
FDE,Summary,0.3346,Median
FDE,Summary,0.3317,Q1
FDE,Summary,0.3599,Q3
FDE,Summary,0.3123,Min
FDE,Summary,0.4236,Max
FDE,Summary,0.11129999999999995,Range
MPJPE,Seed_0,0.2791,Individual
MPJPE,Seed_1,0.2883,Individual
MPJPE,Seed_2,0.3053,Individual
MPJPE,Seed_3,0.3042,Individual
MPJPE,Seed_4,0.3789,Individual
MPJPE,Summary,0.31116,Mean
MPJPE,Summary,0.039439548678959296,Std_Dev
MPJPE,Summary,0.017637902369613004,SEM
MPJPE,Summary,0.2621893322999313,CI_95_Lower
MPJPE,Summary,0.3601306677000687,CI_95_Upper
MPJPE,Summary,0.3042,Median
MPJPE,Summary,0.2883,Q1
MPJPE,Summary,0.3053,Q3
MPJPE,Summary,0.2791,Min
MPJPE,Summary,0.3789,Max
MPJPE,Summary,0.0998,Range
max_ble,Seed_0,0.289409,Individual
max_ble,Seed_1,0.273082,Individual
max_ble,Seed_2,0.248409,Individual
max_ble,Seed_3,0.223542,Individual
max_ble,Seed_4,0.232987,Individual
max_ble,Summary,0.25348580000000004,Mean
max_ble,Summary,0.02746403653325564,Std_Dev
max_ble,Summary,0.012282290524979455,SEM
max_ble,Summary,0.21938469459130353,CI_95_Lower
max_ble,Summary,0.2875869054086966,CI_95_Upper
max_ble,Summary,0.248409,Median
max_ble,Summary,0.232987,Q1
max_ble,Summary,0.273082,Q3
max_ble,Summary,0.223542,Min
max_ble,Summary,0.289409,Max
max_ble,Summary,0.06586700000000004,Range
mean_ble,Seed_0,0.038389,Individual
mean_ble,Seed_1,0.038771,Individual
mean_ble,Seed_2,0.043839,Individual
mean_ble,Seed_3,0.042558,Individual
mean_ble,Seed_4,0.041632,Individual
mean_ble,Summary,0.0410378,Mean
mean_ble,Summary,0.002380405784735032,Std_Dev
mean_ble,Summary,0.0010645498297402526,SEM
mean_ble,Summary,0.038082135835978526,CI_95_Lower
mean_ble,Summary,0.04399346416402147,CI_95_Upper
mean_ble,Summary,0.041632,Median
mean_ble,Summary,0.038771,Q1
mean_ble,Summary,0.042558,Q3
mean_ble,Summary,0.038389,Min
mean_ble,Summary,0.043839,Max
mean_ble,Summary,0.0054500000000000035,Range
std_ble,Seed_0,0.032312,Individual
std_ble,Seed_1,0.032401,Individual
std_ble,Seed_2,0.029371,Individual
std_ble,Seed_3,0.029939,Individual
std_ble,Seed_4,0.02826,Individual
std_ble,Summary,0.0304566,Mean
std_ble,Summary,0.0018367559173717118,Std_Dev
std_ble,Summary,0.0008214222178636268,SEM
std_ble,Summary,0.028175966303911813,CI_95_Lower
std_ble,Summary,0.032737233696088185,CI_95_Upper
std_ble,Summary,0.029939,Median
std_ble,Summary,0.029371,Q1
std_ble,Summary,0.032312,Q3
std_ble,Summary,0.02826,Min
std_ble,Summary,0.032401,Max
std_ble,Summary,0.004140999999999999,Range
